Periodo,# Clicks,# Registros IN,# Primer depÃ³sito IN,Total depositado IN,# Personas que apostaron IN,Total apostado,Net revenue IN
2023-01-01,2757.0,21.0,13.0,2137.66064404538,145.0,13768.362096427,-2179.76291237941
2023-01-02,3319.0,3.0,1.0,2173.48706819226,165.0,14633.845964794,3491.79317034498
2023-01-03,3144.0,4.0,0.0,2079.6599303821,178.0,15248.7365543144,870.483037218882
2023-01-04,3612.0,5.0,5.0,2131.9871584948,191.0,13849.2810563555,1336.14282242378
2023-01-05,3072.0,4.0,6.0,1596.98284281921,178.0,8728.53094207622,301.045725264657
2023-01-06,3088.0,1.0,2.0,1270.29855027169,184.0,8657.84101421045,62.4871921389272
2023-01-06,,0.0,0.0,0.0,1.0,7.11097283787855,7.11097283787855
2023-01-07,3443.0,3.0,4.0,1833.86772039254,202.0,13085.3596959337,2170.125290845
2023-01-08,2843.0,1.0,4.0,1098.78360433539,177.0,8873.83485124201,-217.19828079246
2023-01-09,2493.0,2.0,3.0,878.453789602734,176.0,5986.63357736737,242.473343750156
2023-01-09,,0.0,0.0,5.7423411,1.0,6.91760679503906,1.75612268820802
2023-01-10,2698.0,3.0,2.0,1203.82375819482,172.0,6600.99450689962,879.175545453523
2023-01-10,,0.0,0.0,0.0,1.0,20.9252258850483,0.528284885937079
2023-01-11,3029.0,1.0,3.0,1392.48898967047,171.0,8200.36252115534,755.023514430478
2023-01-11,,0.0,0.0,0.0,1.0,18.3397858013659,-4.33666912580515
2023-01-12,2355.0,0.0,0.0,2119.44040841859,153.0,9341.41824082808,-646.235123416181
2023-01-12,,0.0,0.0,0.0,1.0,28.2220292149806,-3.12063115
2023-01-13,3699.0,12.0,8.0,2367.63186487871,182.0,8657.73992004764,595.233462997365
2023-01-13,,0.0,0.0,0.0,1.0,34.0623325,-3.63591075233898
2023-01-14,2870.0,18.0,11.0,1962.85237735291,189.0,8985.88004454466,65.0201452491686
2023-01-14,,0.0,0.0,0.0,1.0,27.4905456,4.40437818807192
2023-01-15,3335.0,40.0,22.0,1989.57092363168,217.0,12698.7322062946,-13.6710344114531
2023-01-15,,0.0,0.0,0.0,1.0,11.784393,8.44548165
2023-01-16,2366.0,6.0,7.0,1615.10994425483,175.0,9767.68478376412,-57.6007940963401
2023-01-16,,0.0,0.0,0.0,1.0,8.2490751,1.9640655
2023-01-17,2396.0,1.0,2.0,883.063331375136,179.0,8594.42363118359,166.707824325988
2023-01-17,,0.0,0.0,5.8663872,1.0,3.9109248,0.136882366044537
2023-01-18,2559.0,2.0,3.0,3068.84354802152,185.0,15241.9177143816,1036.63777976284
2023-01-18,,0.0,0.0,0.0,1.0,17.7884019326784,3.26661884566049
2023-01-19,2305.0,2.0,3.0,1868.1673516275,182.0,14322.5321836699,2246.11377873722
2023-01-19,,0.0,0.0,0.0,1.0,2.42172509394133,2.42172509394133
2023-01-20,2256.0,1.0,2.0,1316.11172713152,173.0,15117.8272177045,761.232456899413
2023-01-21,2733.0,1.0,4.0,1804.49572604875,189.0,11676.8005511149,594.365394265137
2023-01-22,2722.0,0.0,2.0,1393.29082405938,195.0,17195.2452664592,54.8740293323198
2023-01-23,2393.0,0.0,1.0,897.1084611,176.0,8434.29112048181,-29.1442851037226
2023-01-24,2263.0,1.0,4.0,1878.32075633077,170.0,11927.097060199,1866.30671101062
2023-01-25,2532.0,0.0,1.0,1246.98260622062,177.0,8673.67174452586,218.853003246544
2023-01-26,2056.0,0.0,1.0,1624.02676783312,172.0,8895.86855998301,95.0961668984272
2023-01-27,1944.0,2.0,2.0,2460.43866935179,172.0,8357.98178427742,1178.66139482349
2023-01-28,2640.0,2.0,1.0,1620.1461515775,217.0,12283.8194911698,152.407142749463
2023-01-29,2000.0,4.0,0.0,2040.07481936,175.0,8221.49866876398,1692.7296268066
2023-01-30,1590.0,0.0,1.0,1261.0778890883,124.0,3961.43920578763,300.632057211571
2023-01-30,1.0,,,,,,
2023-01-31,1888.0,0.0,2.0,993.284426273246,161.0,5165.32958751813,158.78819766934
2023-02-01,739.0,2.0,1.0,3841.31919258406,167.0,10149.5640898671,105.377864508153
2023-02-02,389.0,1.0,2.0,1637.85969481591,164.0,10357.5014304987,-1350.87368402298
2023-02-03,275.0,0.0,1.0,3409.72161379031,158.0,16908.5860341248,2856.62756258566
2023-02-04,283.0,1.0,4.0,3907.1398247882,179.0,16798.3137905497,2102.13933456296
2023-02-05,635.0,0.0,0.0,2172.3030138,160.0,12726.3123977495,323.158176101902
2023-02-06,520.0,2.0,0.0,2264.51970440039,149.0,13451.4163999128,192.548776766258
2023-02-07,1598.0,0.0,1.0,2880.8458920739,179.0,14160.8970453732,439.21653868444
2023-02-07,,0.0,0.0,5.7764292,1.0,7.7019056,-3.57753513579618
