periodo,#_clicks,#_registros_in,#_primer_depósito_in,total_depositado_in,#_personas_que_apostaron_in,total_apostado,net_revenue_in,año_mes,conversion_rate,avg_deposit_per_user,revenue_per_deposit
2022-11-25,6315.399999999998,50.29999999999994,36.599999999999966,2093.40688584,559.0,18538.0519884165,3308.86954675406,2022-11,0.011540443070582175,3.744913928157424,1.5806146283054494
2022-11-27,6315.399999999998,43.0,36.599999999999966,3343.945184415,493.0,25492.0394645793,716.959308189211,2022-11,0.0053884711779448626,6.7828502726470585,0.21440522157202707
2022-11-28,6315.399999999998,30.0,36.599999999999966,5848.12292633342,596.9999999999999,34299.0987261411,62.74048744995134,2022-11,0.0036509675063891934,9.77946977647729,0.0012871798584501914
2022-11-30,6315.399999999998,17.0,28.0,3008.93302449947,465.0,29197.0932800748,965.427480316932,2022-11,0.0025575447570332483,6.47082370860101,0.32085376193361065
2022-12-01,6103.0,20.0,24.0,2007.4095393,422.0,27792.2575447057,4149.77536691953,2022-12,0.003277076847452073,4.7568946428909955,2.0672290759197
2022-12-02,6315.399999999998,41.0,33.0,6426.18315760562,510.0,33717.9693044827,1239.06546687585,2022-12,0.006066883693400415,12.60035913256004,0.19281514959768478
2022-12-03,5270.0,18.0,22.0,4666.35710826282,381.0,19612.8792838981,1305.30792984712,2022-12,0.003415559772296015,12.247656452133384,0.2797273975315312
2022-12-05,6315.399999999998,8.0,20.0,5158.71172816029,498.0,28727.5738699219,2048.51321707268,2022-12,0.0012286899093841193,10.358858891888131,0.39709782694200385
2022-12-06,4758.0,5.0,8.0,2345.09243876608,392.0,19781.2331984643,3772.2505073,2022-12,0.0010508617065994115,5.982378670321632,1.6085722016505455
2022-12-07,2789.0,3.0,10.0,1529.17819864704,166.0,16173.0222430192,616.097778140475,2022-12,0.0010756543564001434,9.211916859319519,0.40289469120444915
2022-12-08,2744.0,20.0,11.0,2231.21572648466,152.0,13032.9330162542,1262.52844288315,2022-12,0.007288629737609329,14.679050832135921,0.5658477698489054
2022-12-09,6315.399999999998,37.0,28.0,5070.70192558531,501.0,26925.4070647144,8580.731349511187,2022-12,0.005836882789083452,10.121161528114392,1.9697133217067018
2022-12-11,2193.0,17.0,2.0,1126.208858913837,145.2,8254.00116996933,409.617429118004,2022-12,0.007751937984496124,7.552329834383453,0.39019587913784354
2022-12-12,2187.0,3.0,4.0,1126.208858913837,145.2,6819.046997859054,771.709925283538,2022-12,0.0013717421124828531,8.948704160967742,0.6954601501442803
2022-12-13,3268.0,5.0,9.0,2140.71343620835,290.0,13146.3176331935,1393.33718139223,2022-12,0.0015299877600979193,7.381770469683965,0.650875151164614
2022-12-14,3234.0,5.0,6.0,2370.97997565541,321.0,10494.4162526336,1967.1445659189,2022-12,0.0015460729746444033,7.386230453755171,0.8296757400387249
2022-12-15,2031.0,4.0,2.0,1324.44190969484,145.2,8226.04468075855,62.74048744995134,2022-12,0.0019694731659281144,9.134082135826482,0.0184376289342247
2022-12-16,2083.0,1.0,1.0,2916.32865283923,145.2,18008.5181495753,472.613220215722,2022-12,0.00048007681228996637,21.76364666297933,0.1620575992886135
2022-12-17,3016.0,11.0,6.0,2217.81373118337,229.0,10791.2320507918,1255.82748632892,2022-12,0.003647214854111406,9.684776118704672,0.5662456989383152
2022-12-19,2406.0,13.0,4.0,1126.208858913837,148.0,7181.11772513982,432.178949032717,2022-12,0.005403158769742311,7.551249873080743,0.386707907046585
2022-12-20,2575.0,11.0,6.0,1939.6084187325,164.0,10359.6391213941,278.855412578204,2022-12,0.004271844660194175,11.826880602027439,0.1437689225748108
2022-12-21,3315.0,11.0,10.0,2260.13085536762,178.0,12367.7459159093,426.879511908502,2022-12,0.0033182503770739064,12.697364355997864,0.18887380387498326
2022-12-22,4045.0,50.29999999999994,25.0,2442.6317916975,197.0,11018.6616821676,227.882077984815,2022-12,0.012608158220024722,12.39914615074873,0.09329366741208629
2022-12-23,4942.0,50.29999999999994,36.599999999999966,2135.68941716389,207.0,11600.9081316964,684.924974263607,2022-12,0.018413597733711047,10.317340179535702,0.3207043911718025
2022-12-24,2740.0,13.0,12.0,1841.16915845296,161.0,8887.622782375,366.206509024872,2022-12,0.004744525547445255,11.435833282316521,0.19889889385969106
2022-12-25,2592.0,13.0,8.0,1126.208858913837,145.2,6819.046997859054,384.058459426631,2022-12,0.005015432098765432,8.366295848980245,0.3890291194282905
2022-12-26,3598.0,10.0,11.0,2363.03648986453,188.0,9861.96985404276,125.1597286174,2022-12,0.0027793218454697055,12.569343031194308,0.05296563517077778
2022-12-27,3537.0,5.0,4.0,5524.56829046976,171.0,17793.8389533896,565.065656855311,2022-12,0.0014136273678258412,32.30741690333193,0.10228231911443399
2022-12-29,3806.0,9.0,5.0,3177.15889103936,184.0,13011.2877384963,1146.40225652253,2022-12,0.002364687335785602,17.267167886083477,0.36082622740580084
2022-12-31,3136.0,12.0,4.0,1532.63987404201,185.0,16827.7248776496,62.74048744995134,2022-12,0.003826530612244898,8.284539859686541,0.036174987308279956
2023-01-02,3319.0,3.0,1.0,2173.48706819226,165.0,14633.845964794,3491.79317034498,2023-01,0.0009038867128653209,13.172648898134907,1.6065396576061464
2023-01-04,3612.0,5.0,5.0,2131.9871584948,191.0,13849.2810563555,1336.14282242378,2023-01,0.0013842746400885937,11.162236431909948,0.6267124157385204
2023-01-05,3072.0,4.0,6.0,1596.98284281921,178.0,8728.53094207622,301.045725264657,2023-01,0.0013020833333333333,8.971813723703427,0.1885090541944774
2023-01-06,3088.0,1.0,2.0,1270.29855027169,184.0,8657.84101421045,62.74048744995134,2023-01,0.0003238341968911917,6.90379646886788,0.04919094973820329
2023-01-07,3443.0,3.0,4.0,1833.86772039254,202.0,13085.3596959337,2170.125290845,2023-01,0.0008713331397037467,9.078553071250198,1.1833597738338968
2023-01-09,2493.0,2.0,3.0,1126.208858913837,176.0,6819.046997859054,242.473343750156,2023-01,0.0008022462896109105,4.991214713651898,0.27602287863065683
